[2025-05-19 19:22:30] Sent: 0.02 MB, Received: 0.09 MB, Total: 0.11 MB
[2025-05-19 19:22:35] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:22:41] Sent: 0.01 MB, Received: 0.15 MB, Total: 0.16 MB
[2025-05-19 19:22:46] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.09 MB
[2025-05-19 19:22:51] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:22:56] Sent: 0.02 MB, Received: 0.10 MB, Total: 0.12 MB
[2025-05-19 19:23:01] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:23:06] Sent: 0.01 MB, Received: 0.09 MB, Total: 0.09 MB
[2025-05-19 19:23:11] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.08 MB
[2025-05-19 19:23:41] Sent: 0.01 MB, Received: 0.09 MB, Total: 0.09 MB
[2025-05-19 19:23:46] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:23:51] Sent: 0.01 MB, Received: 0.10 MB, Total: 0.10 MB
[2025-05-19 19:23:56] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.06 MB
[2025-05-19 19:24:01] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.09 MB
[2025-05-19 19:24:06] Sent: 0.01 MB, Received: 0.10 MB, Total: 0.11 MB
[2025-05-19 19:24:11] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.09 MB
[2025-05-19 19:24:16] Sent: 0.01 MB, Received: 0.07 MB, Total: 0.09 MB
[2025-05-19 19:24:21] Sent: 0.01 MB, Received: 0.07 MB, Total: 0.08 MB
[2025-05-19 19:24:26] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:24:31] Sent: 0.12 MB, Received: 0.11 MB, Total: 0.23 MB
[2025-05-19 19:24:36] Sent: 0.01 MB, Received: 0.05 MB, Total: 0.06 MB
[2025-05-19 19:24:41] Sent: 0.01 MB, Received: 0.04 MB, Total: 0.05 MB
[2025-05-19 19:24:46] Sent: 0.01 MB, Received: 0.07 MB, Total: 0.08 MB
[2025-05-19 19:24:51] Sent: 0.01 MB, Received: 0.05 MB, Total: 0.07 MB
[2025-05-19 19:24:56] Sent: 0.01 MB, Received: 0.05 MB, Total: 0.06 MB
[2025-05-19 19:25:01] Sent: 0.01 MB, Received: 0.05 MB, Total: 0.06 MB
[2025-05-19 19:25:06] Sent: 0.02 MB, Received: 0.10 MB, Total: 0.12 MB
[2025-05-19 19:25:11] Sent: 0.01 MB, Received: 0.07 MB, Total: 0.07 MB
[2025-05-19 19:25:16] Sent: 0.01 MB, Received: 0.12 MB, Total: 0.13 MB
[2025-05-19 19:25:21] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.09 MB
[2025-05-19 19:25:26] Sent: 0.01 MB, Received: 0.17 MB, Total: 0.17 MB
[2025-05-19 19:25:31] Sent: 0.01 MB, Received: 0.17 MB, Total: 0.18 MB
[2025-05-19 19:25:36] Sent: 0.01 MB, Received: 0.11 MB, Total: 0.12 MB
[2025-05-19 19:25:41] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.08 MB
[2025-05-19 19:25:46] Sent: 0.01 MB, Received: 0.15 MB, Total: 0.16 MB
[2025-05-19 19:25:51] Sent: 0.01 MB, Received: 0.10 MB, Total: 0.10 MB
[2025-05-19 19:25:56] Sent: 0.01 MB, Received: 0.16 MB, Total: 0.17 MB
[2025-05-19 19:26:01] Sent: 0.01 MB, Received: 0.09 MB, Total: 0.10 MB
[2025-05-19 19:26:06] Sent: 0.01 MB, Received: 0.13 MB, Total: 0.14 MB
[2025-05-19 19:26:11] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:26:16] Sent: 0.01 MB, Received: 0.11 MB, Total: 0.13 MB
[2025-05-19 19:26:21] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.09 MB
[2025-05-19 19:26:26] Sent: 0.04 MB, Received: 0.10 MB, Total: 0.13 MB
[2025-05-19 19:26:31] Sent: 0.01 MB, Received: 0.09 MB, Total: 0.10 MB
[2025-05-19 19:26:36] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.06 MB
[2025-05-19 19:26:41] Sent: 0.24 MB, Received: 0.09 MB, Total: 0.33 MB
[2025-05-19 19:26:46] Sent: 0.02 MB, Received: 0.07 MB, Total: 0.09 MB
[2025-05-19 19:26:51] Sent: 0.02 MB, Received: 0.08 MB, Total: 0.10 MB
[2025-05-19 19:26:56] Sent: 0.05 MB, Received: 0.07 MB, Total: 0.12 MB
[2025-05-19 19:27:01] Sent: 0.07 MB, Received: 0.13 MB, Total: 0.20 MB
[2025-05-19 19:27:06] Sent: 0.04 MB, Received: 0.06 MB, Total: 0.11 MB
